31,594;0;0,977
31,694;0,1;0,987
31,795;0,201;0,987
31,894;0,3;0,998
31,994;0,4;0,998
32,094;0,5;0,998
32,195;0,601;0,987
32,295;0,701;0,998
32,394;0,8;0,998
32,494;0,9;0,998
32,594;1;0,998
32,694;1,1;0,998
32,794;1,2;1,008
32,894;1,3;1,008
32,995;1,401;0,998
33,094;1,5;0,998
33,195;1,601;0,987
33,295;1,701;0,998
33,394;1,8;0,987
33,494;1,9;0,998
33,595;2,001;0,998
33,695;2,101;0,987
33,794;2,2;1,008
33,895;2,301;0,998
33,995;2,401;0,998
34,094;2,5;0,998
34,194;2,6;0,998
34,295;2,701;0,998
34,394;2,8;0,998
34,494;2,9;0,987
34,594;3;1,008
34,695;3,101;0,987
34,795;3,201;0,998
34,894;3,3;1,008
34,994;3,4;0,998
35,094;3,5;0,998
35,194;3,6;0,998
35,295;3,701;0,998
35,394;3,8;0,998
35,494;3,9;0,998
35,594;4;0,998
35,694;4,1;0,998
35,795;4,201;0,998
35,894;4,3;0,987
35,995;4,401;0,987
36,094;4,5;0,987
36,195;4,601;0,998
36,295;4,701;0,987
36,394;4,8;0,998
36,495;4,901;0,987
36,595;5,001;0,987
36,694;5,1;0,998
36,794;5,2;0,987
36,894;5,3;0,987
36,995;5,401;0,998
37,094;5,5;0,987
37,194;5,6;0,977
37,294;5,7;0,987
37,394;5,8;0,998
37,494;5,9;0,998
37,594;6;0,987
37,694;6,1;0,998
37,794;6,2;0,987
37,895;6,301;0,998
37,994;6,4;0,987
38,094;6,5;0,987
38,194;6,6;0,987
38,295;6,701;0,998
38,394;6,8;0,987
38,494;6,9;0,998
38,595;7,001;0,998
38,694;7,1;0,987
38,795;7,201;0,998
38,895;7,301;0,998
38,994;7,4;0,998
39,094;7,5;0,987
39,195;7,601;1,018
39,295;7,701;1,018
39,395;7,801;1,079
39,495;7,901;1,182
39,594;8;1,335
39,696;8,102;1,581
39,794;8,2;1,857
39,894;8,3;2,184
39,994;8,4;2,501
40,094;8,5;2,798
40,195;8,601;3,084
40,295;8,701;3,37
40,394;8,8;0,261
40,494;8,9;0,128
40,595;9,001;0,108
40,694;9,1;0,077
40,794;9,2;0,067
40,894;9,3;0,067
40,994;9,4;0,067
41,094;9,5;0,057
41,194;9,6;0,047
41,295;9,701;0,057
41,394;9,8;0,057
41,494;9,9;0,067
41,594;10;0,057
41,694;10,1;0,057
41,795;10,201;0,057
41,894;10,3;0,057
41,994;10,4;0,067
42,094;10,5;0,067
42,195;10,601;0,067
42,294;10,7;0,067
42,394;10,8;0,067
42,494;10,9;0,057
42,594;11;0,067
42,694;11,1;0,067
42,794;11,2;0,067
42,894;11,3;0,057
42,994;11,4;0,057
43,095;11,501;0,057
43,194;11,6;0,067
43,294;11,7;0,057
