10,866;0;1,049
10,966;0,1;1,059
11,066;0,2;1,069
11,166;0,3;1,09
11,267;0,401;1,09
11,366;0,5;1,11
11,466;0,6;1,1
11,566;0,7;1,1
11,666;0,8;1,11
11,767;0,901;1,1
11,867;1,001;1,11
11,966;1,1;1,11
12,067;1,201;1,12
12,166;1,3;1,11
12,267;1,401;1,11
12,367;1,501;1,1
12,466;1,6;1,11
12,566;1,7;1,11
12,666;1,8;1,11
12,766;1,9;1,11
12,867;2,001;1,11
12,967;2,101;1,12
13,066;2,2;1,11
13,166;2,3;1,1
13,266;2,4;1,11
13,366;2,5;1,11
13,467;2,601;1,12
13,566;2,7;1,1
13,666;2,8;1,11
13,766;2,9;1,1
13,867;3,001;1,11
13,966;3,1;1,12
14,067;3,201;1,11
14,167;3,301;1,1
14,266;3,4;1,11
14,366;3,5;1,11
14,467;3,601;1,11
14,566;3,7;1,11
14,666;3,8;1,12
14,767;3,901;1,151
14,866;4;1,202
14,967;4,101;1,304
15,067;4,201;1,458
15,166;4,3;1,673
15,267;4,401;1,949
15,366;4,5;2,255
15,466;4,6;2,583
15,567;4,701;2,91
15,666;4,8;3,217
15,766;4,9;3,503
15,866;5;4,751
15,966;5,1;5,221
16,066;5,2;0,108
16,167;5,301;0,057
16,266;5,4;0,057
16,366;5,5;0,057
16,466;5,6;0,057
16,566;5,7;0,036
16,667;5,801;0,047
16,766;5,9;0,026
16,867;6,001;0,026
16,967;6,101;0,036
17,068;6,202;0,016
17,166;6,3;0,016
17,266;6,4;0,016
17,367;6,501;0,016
17,466;6,6;0,016
17,566;6,7;0,016
17,666;6,8;-0,005
